Width,Height,Elongation,Roundness,Complexity,Label
0.45,0.6755447941888619,0.04427208799412232,0.7303534608170973,0.13077715825912323,guitar
0.72,0.8135593220338984,0.005172601996296854,0.8087857428898781,0.14914250984329994,pencil
0.554,0.8087167070217918,0.018134575876049306,0.9435445101872673,0.13542795232936078,clock
0.63,0.21307506053268765,0.16557557947057275,0.512845887823724,0.14073937055730254,car
0.456,0.3050847457627119,0.07388366813242915,0.6638647360550316,0.197922997648178,fish
0.5,0.36803874092009686,0.0419445842118978,0.8569804547519108,0.14610363871786064,house
0.538,0.6900726392251816,0.006228051415532055,0.6856530601648836,0.14475596543614408,tree
0.544,0.3946731234866828,0.043666879158591416,0.8443610569725498,0.17070528235076501,bicycle
0.196,0.7578692493946732,0.16684196817927094,0.4813050515657659,0.10522421583912481,guitar
0.016,0.5012106537530266,0.9227843820282774,0.04801402506049049,0.027244140263721163,pencil
0.266,0.3075060532687651,0.0005344150232595162,0.9916165554945932,0.11093200856168908,clock
0.55,0.2179176755447942,0.12710097594643657,0.6245821181279743,0.11703617577887589,car
0.36,0.21307506053268765,0.060976272698933964,0.7793645872730465,0.05488465502206485,fish
0.308,0.4213075060532688,0.01072054936815811,0.8505697830068485,0.08540549110799883,house
0.418,0.6198547215496368,0.021122217028903482,0.9115075567189797,0.12160769495018894,tree
0.454,0.25907990314769974,0.07533441025246573,0.7428909474212314,0.11878022355521496,bicycle
0.594,0.5835351089588378,0.07677446995820733,0.6896396995020173,0.22532568770974817,guitar
0.394,0.34382566585956414,0.4694941266918835,0.20163180912877382,0.06994688581772059,pencil
0.414,0.3389830508474576,0.02177708546084907,0.9297275914801258,0.12274396850144016,clock
0.286,0.06053268765133172,0.18413937645185427,0.48928271097449916,0.02172132230531406,fish
0.346,0.4188861985472155,0.0018790964600413553,0.8179644829411025,0.13664350077953652,house
0.438,0.5544794188861986,0.010232261524146979,0.8153383286466205,0.12380096715376687,tree
0.426,0.3801452784503632,0.025500665328669278,0.8476379560138708,0.16425759057157202,bicycle
0.136,0.4963680387409201,0.15745330654397346,0.5673042130020348,0.07554897867505218,guitar
0.174,0.22033898305084745,0.26425296038035384,0.35165707990091366,0.01770472742647253,pencil
0.126,0.2033898305084746,0.028921778794673517,0.893729579469326,0.02187987210316307,clock
0.68,0.324455205811138,0.1188979635250523,0.6104144164334003,0.26274344000211397,car
0.758,0.8765133171912833,0.01607977641860457,0.7858690499003353,0.32116904050947337,fish
0.76,0.5157384987893463,0.06079289636439199,0.7842274836002819,0.48357688343947364,house
0.664,0.9200968523002422,0.01314340502821413,0.856801164260469,0.5166345162909918,tree
0.672,0.5714285714285714,0.0485433660951248,0.801010896008363,0.6399069841185953,bicycle
0.656,0.9128329297820823,0.08374011791870777,0.6733652423120144,0.5318817218508046,guitar
0.654,0.7288135593220338,0.5138440726336635,0.17093557163438214,0.20801733477789816,pencil
0.276,0.6973365617433414,0.08466892431642717,0.8020368558241564,0.19332505351055676,clock
